Fundamento;Conceito;Tema;Subtema
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Requisitos das Partes Interessadas;Definição das partes interessadas
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Requisitos das Partes Interessadas;Identificação das necessidades e expectativas das partes interessadas
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Requisitos das Partes Interessadas;Definição dos requisitos das partes interessadas
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Relacionamento com as Partes Interessadas;Estabelecimento dos canais de relacionamento
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Relacionamento com as Partes Interessadas;Tratamento das manifestações
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Relacionamento com as Partes Interessadas;Comunicação com as partes interessadas
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Relacionamento com as Partes Interessadas;Avaliação da Satisfação das Partes Interessadas
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Mercado;Análise de mercado
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Mercado;Desenvolvimento de mercado
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Mercado;Gestão da marca
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Clientes;Experiência do cliente
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Clientes;Fidelização do cliente
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Fornecedores;Desenvolvimento de Fornecedores
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Fornecedores;Relacionamento com Fornecedores
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Pessoas;Desenvolvimento das pessoas
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Pessoas;Engajamento das pessoas
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Pessoas;Saúde e segurança das pessoas
COMPROMISSO;Compreender a identificação e a implementação de requisitos para atendimento às necessidades e expectativas das partes interessadas e do mercado de atuação, valorando e secomprometendo a atender tais requisitos assumidos, considerando os processos e osrelacionamentos, dentro e fora da organização, para geração de valores sustentáveis.;Pessoas;Diversidade e inclusão
RESPONSABILIDADE;Responder às partes interessadas, pelosimpactos de suas decisões e atividades, considerando os riscos do negócio, por meio de umcomportamento íntegro, responsável, consciente, ético e transparente, visando a atender asnecessidades das gerações presentes e futuras, relativas ao meio ambiente, aos aspectossociais, às questões econômicas, financeiras e à governança.;Governança;Implementação da governança
RESPONSABILIDADE;Responder às partes interessadas, pelosimpactos de suas decisões e atividades, considerando os riscos do negócio, por meio de umcomportamento íntegro, responsável, consciente, ético e transparente, visando a atender asnecessidades das gerações presentes e futuras, relativas ao meio ambiente, aos aspectossociais, às questões econômicas, financeiras e à governança.;Governança;Prestação de contas
RESPONSABILIDADE;Responder às partes interessadas, pelosimpactos de suas decisões e atividades, considerando os riscos do negócio, por meio de umcomportamento íntegro, responsável, consciente, ético e transparente, visando a atender asnecessidades das gerações presentes e futuras, relativas ao meio ambiente, aos aspectossociais, às questões econômicas, financeiras e à governança.;Integridade;Conformidade
RESPONSABILIDADE;Responder às partes interessadas, pelosimpactos de suas decisões e atividades, considerando os riscos do negócio, por meio de umcomportamento íntegro, responsável, consciente, ético e transparente, visando a atender asnecessidades das gerações presentes e futuras, relativas ao meio ambiente, aos aspectossociais, às questões econômicas, financeiras e à governança.;Integridade;Conduta ética
RESPONSABILIDADE;Responder às partes interessadas, pelosimpactos de suas decisões e atividades, considerando os riscos do negócio, por meio de umcomportamento íntegro, responsável, consciente, ético e transparente, visando a atender asnecessidades das gerações presentes e futuras, relativas ao meio ambiente, aos aspectossociais, às questões econômicas, financeiras e à governança.;Integridade;Gestão de riscos
RESPONSABILIDADE;Responder às partes interessadas, pelosimpactos de suas decisões e atividades, considerando os riscos do negócio, por meio de umcomportamento íntegro, responsável, consciente, ético e transparente, visando a atender asnecessidades das gerações presentes e futuras, relativas ao meio ambiente, aos aspectossociais, às questões econômicas, financeiras e à governança.;Econômico-financeiro;Planejamento econômico-financeiro
RESPONSABILIDADE;Responder às partes interessadas, pelosimpactos de suas decisões e atividades, considerando os riscos do negócio, por meio de umcomportamento íntegro, responsável, consciente, ético e transparente, visando a atender asnecessidades das gerações presentes e futuras, relativas ao meio ambiente, aos aspectossociais, às questões econômicas, financeiras e à governança.;Econômico-financeiro;Monitoramento econômico-financeiro
RESPONSABILIDADE;Responder às partes interessadas, pelosimpactos de suas decisões e atividades, considerando os riscos do negócio, por meio de umcomportamento íntegro, responsável, consciente, ético e transparente, visando a atender asnecessidades das gerações presentes e futuras, relativas ao meio ambiente, aos aspectossociais, às questões econômicas, financeiras e à governança.;Ambiental;Prevenção de impactos ambientais
RESPONSABILIDADE;Responder às partes interessadas, pelosimpactos de suas decisões e atividades, considerando os riscos do negócio, por meio de umcomportamento íntegro, responsável, consciente, ético e transparente, visando a atender asnecessidades das gerações presentes e futuras, relativas ao meio ambiente, aos aspectossociais, às questões econômicas, financeiras e à governança.;Ambiental;Tratamento de impactos ambientais
RESPONSABILIDADE;Responder às partes interessadas, pelosimpactos de suas decisões e atividades, considerando os riscos do negócio, por meio de umcomportamento íntegro, responsável, consciente, ético e transparente, visando a atender asnecessidades das gerações presentes e futuras, relativas ao meio ambiente, aos aspectossociais, às questões econômicas, financeiras e à governança.;Ambiental;Desenvolvimento ambiental
RESPONSABILIDADE;Responder às partes interessadas, pelosimpactos de suas decisões e atividades, considerando os riscos do negócio, por meio de umcomportamento íntegro, responsável, consciente, ético e transparente, visando a atender asnecessidades das gerações presentes e futuras, relativas ao meio ambiente, aos aspectossociais, às questões econômicas, financeiras e à governança.;Social;Prevenção de impactos sociais
RESPONSABILIDADE;Responder às partes interessadas, pelosimpactos de suas decisões e atividades, considerando os riscos do negócio, por meio de umcomportamento íntegro, responsável, consciente, ético e transparente, visando a atender asnecessidades das gerações presentes e futuras, relativas ao meio ambiente, aos aspectossociais, às questões econômicas, financeiras e à governança.;Social;Tratamento de impactos sociais
RESPONSABILIDADE;Responder às partes interessadas, pelosimpactos de suas decisões e atividades, considerando os riscos do negócio, por meio de umcomportamento íntegro, responsável, consciente, ético e transparente, visando a atender asnecessidades das gerações presentes e futuras, relativas ao meio ambiente, aos aspectossociais, às questões econômicas, financeiras e à governança.;Social;Desenvolvimento social
LIDERANÇA;Atuar de forma ética, inspiradora e comprometida com a excelência para exploraras potencialidades das pessoas e culturas presentes, demonstrando respeito e construindorelações de confiança, trabalhando no desenvolvimento dos líderes atuais e sucessores, nainteração com as partes interessadas e na mobilização das pessoas e das organizações emtorno de valores, princípios, desafios e estratégias.;Exercício da Liderança;Atuação na definição
LIDERANÇA;Atuar de forma ética, inspiradora e comprometida com a excelência para exploraras potencialidades das pessoas e culturas presentes, demonstrando respeito e construindorelações de confiança, trabalhando no desenvolvimento dos líderes atuais e sucessores, nainteração com as partes interessadas e na mobilização das pessoas e das organizações emtorno de valores, princípios, desafios e estratégias.;Exercício da Liderança;Atuação no engajamento
LIDERANÇA;Atuar de forma ética, inspiradora e comprometida com a excelência para exploraras potencialidades das pessoas e culturas presentes, demonstrando respeito e construindorelações de confiança, trabalhando no desenvolvimento dos líderes atuais e sucessores, nainteração com as partes interessadas e na mobilização das pessoas e das organizações emtorno de valores, princípios, desafios e estratégias.;Exercício da Liderança;Atuação na implementação
LIDERANÇA;Atuar de forma ética, inspiradora e comprometida com a excelência para exploraras potencialidades das pessoas e culturas presentes, demonstrando respeito e construindorelações de confiança, trabalhando no desenvolvimento dos líderes atuais e sucessores, nainteração com as partes interessadas e na mobilização das pessoas e das organizações emtorno de valores, princípios, desafios e estratégias.;Sucessão;Identificação de novos líderes e sucessores
LIDERANÇA;Atuar de forma ética, inspiradora e comprometida com a excelência para exploraras potencialidades das pessoas e culturas presentes, demonstrando respeito e construindorelações de confiança, trabalhando no desenvolvimento dos líderes atuais e sucessores, nainteração com as partes interessadas e na mobilização das pessoas e das organizações emtorno de valores, princípios, desafios e estratégias.;Sucessão;Seleção de novos líderes e sucessores
LIDERANÇA;Atuar de forma ética, inspiradora e comprometida com a excelência para exploraras potencialidades das pessoas e culturas presentes, demonstrando respeito e construindorelações de confiança, trabalhando no desenvolvimento dos líderes atuais e sucessores, nainteração com as partes interessadas e na mobilização das pessoas e das organizações emtorno de valores, princípios, desafios e estratégias.;Sucessão;Desenvolvimento de novos líderes e sucessores
LIDERANÇA;Atuar de forma ética, inspiradora e comprometida com a excelência para exploraras potencialidades das pessoas e culturas presentes, demonstrando respeito e construindorelações de confiança, trabalhando no desenvolvimento dos líderes atuais e sucessores, nainteração com as partes interessadas e na mobilização das pessoas e das organizações emtorno de valores, princípios, desafios e estratégias.;Estratégia;Formulação das estratégias
LIDERANÇA;Atuar de forma ética, inspiradora e comprometida com a excelência para exploraras potencialidades das pessoas e culturas presentes, demonstrando respeito e construindorelações de confiança, trabalhando no desenvolvimento dos líderes atuais e sucessores, nainteração com as partes interessadas e na mobilização das pessoas e das organizações emtorno de valores, princípios, desafios e estratégias.;Estratégia;Implementação das estratégias
LIDERANÇA;Atuar de forma ética, inspiradora e comprometida com a excelência para exploraras potencialidades das pessoas e culturas presentes, demonstrando respeito e construindorelações de confiança, trabalhando no desenvolvimento dos líderes atuais e sucessores, nainteração com as partes interessadas e na mobilização das pessoas e das organizações emtorno de valores, princípios, desafios e estratégias.;Estratégia;Desenvolvimento das competências essenciais
PENSAMENTOSISTÊMICO;Compreender e tratar as relações de interdependência e seus efeitos entre os diversoscomponentes que formam a organização, bem como entre esses e o ambiente que interagem,de maneira adaptável, resiliente e inovadora, garantindo que as pessoas busquem causassistêmicas por meio da análise e da tomada de decisão, não restringindo a uma visão linear e decontrole, questionando suposições iniciais de planejamento e de negócio.;Interdependência;Estruturação do modelo de gestão
PENSAMENTOSISTÊMICO;Compreender e tratar as relações de interdependência e seus efeitos entre os diversoscomponentes que formam a organização, bem como entre esses e o ambiente que interagem,de maneira adaptável, resiliente e inovadora, garantindo que as pessoas busquem causassistêmicas por meio da análise e da tomada de decisão, não restringindo a uma visão linear e decontrole, questionando suposições iniciais de planejamento e de negócio.;Interdependência;Estruturação do sistema de medição
PENSAMENTOSISTÊMICO;Compreender e tratar as relações de interdependência e seus efeitos entre os diversoscomponentes que formam a organização, bem como entre esses e o ambiente que interagem,de maneira adaptável, resiliente e inovadora, garantindo que as pessoas busquem causassistêmicas por meio da análise e da tomada de decisão, não restringindo a uma visão linear e decontrole, questionando suposições iniciais de planejamento e de negócio.;Interdependência;Atuação em rede
PENSAMENTOSISTÊMICO;Compreender e tratar as relações de interdependência e seus efeitos entre os diversoscomponentes que formam a organização, bem como entre esses e o ambiente que interagem,de maneira adaptável, resiliente e inovadora, garantindo que as pessoas busquem causassistêmicas por meio da análise e da tomada de decisão, não restringindo a uma visão linear e decontrole, questionando suposições iniciais de planejamento e de negócio.;Análise e Decisão;Estruturação das informações
PENSAMENTOSISTÊMICO;Compreender e tratar as relações de interdependência e seus efeitos entre os diversoscomponentes que formam a organização, bem como entre esses e o ambiente que interagem,de maneira adaptável, resiliente e inovadora, garantindo que as pessoas busquem causassistêmicas por meio da análise e da tomada de decisão, não restringindo a uma visão linear e decontrole, questionando suposições iniciais de planejamento e de negócio.;Análise e Decisão;Tomada de decisão
PENSAMENTOSISTÊMICO;Compreender e tratar as relações de interdependência e seus efeitos entre os diversoscomponentes que formam a organização, bem como entre esses e o ambiente que interagem,de maneira adaptável, resiliente e inovadora, garantindo que as pessoas busquem causassistêmicas por meio da análise e da tomada de decisão, não restringindo a uma visão linear e decontrole, questionando suposições iniciais de planejamento e de negócio.;Análise e Decisão;Monitoramento das decisões
PROCESSOS;Promover uma visão de processos, compreendendo seus recursos, informações e ativos, demaneira integrada, na forma de uma cadeia de agregação de valor, que orientam a tomada dedecisão para execução das suas estratégias, operações, produtos e projetos, proporcionando oaprendizado, a transformação, a mudança e a agilidade, garantindo a base para a eficiência e aeficácia, orientando a definição da estrutura organizacional e de tecnologias mais adequada.;Gestão por Processos;Modelagem de processos
PROCESSOS;Promover uma visão de processos, compreendendo seus recursos, informações e ativos, demaneira integrada, na forma de uma cadeia de agregação de valor, que orientam a tomada dedecisão para execução das suas estratégias, operações, produtos e projetos, proporcionando oaprendizado, a transformação, a mudança e a agilidade, garantindo a base para a eficiência e aeficácia, orientando a definição da estrutura organizacional e de tecnologias mais adequada.;Gestão por Processos;Gerenciamento do desempenho de processos
PROCESSOS;Promover uma visão de processos, compreendendo seus recursos, informações e ativos, demaneira integrada, na forma de uma cadeia de agregação de valor, que orientam a tomada dedecisão para execução das suas estratégias, operações, produtos e projetos, proporcionando oaprendizado, a transformação, a mudança e a agilidade, garantindo a base para a eficiência e aeficácia, orientando a definição da estrutura organizacional e de tecnologias mais adequada.;Gestão por Processos;Análise e melhoria de processos
PROCESSOS;Promover uma visão de processos, compreendendo seus recursos, informações e ativos, demaneira integrada, na forma de uma cadeia de agregação de valor, que orientam a tomada dedecisão para execução das suas estratégias, operações, produtos e projetos, proporcionando oaprendizado, a transformação, a mudança e a agilidade, garantindo a base para a eficiência e aeficácia, orientando a definição da estrutura organizacional e de tecnologias mais adequada.;Gestão por Processos;Definição da estrutura organizacional
PROCESSOS;Promover uma visão de processos, compreendendo seus recursos, informações e ativos, demaneira integrada, na forma de uma cadeia de agregação de valor, que orientam a tomada dedecisão para execução das suas estratégias, operações, produtos e projetos, proporcionando oaprendizado, a transformação, a mudança e a agilidade, garantindo a base para a eficiência e aeficácia, orientando a definição da estrutura organizacional e de tecnologias mais adequada.;Produtos;Gestão do Portfólio
PROCESSOS;Promover uma visão de processos, compreendendo seus recursos, informações e ativos, demaneira integrada, na forma de uma cadeia de agregação de valor, que orientam a tomada dedecisão para execução das suas estratégias, operações, produtos e projetos, proporcionando oaprendizado, a transformação, a mudança e a agilidade, garantindo a base para a eficiência e aeficácia, orientando a definição da estrutura organizacional e de tecnologias mais adequada.;Produtos;Desenvolvimento de produto e serviço
PROCESSOS;Promover uma visão de processos, compreendendo seus recursos, informações e ativos, demaneira integrada, na forma de uma cadeia de agregação de valor, que orientam a tomada dedecisão para execução das suas estratégias, operações, produtos e projetos, proporcionando oaprendizado, a transformação, a mudança e a agilidade, garantindo a base para a eficiência e aeficácia, orientando a definição da estrutura organizacional e de tecnologias mais adequada.;Recursos;Desenvolvimento da infraestrutura de informação e comunicação
PROCESSOS;Promover uma visão de processos, compreendendo seus recursos, informações e ativos, demaneira integrada, na forma de uma cadeia de agregação de valor, que orientam a tomada dedecisão para execução das suas estratégias, operações, produtos e projetos, proporcionando oaprendizado, a transformação, a mudança e a agilidade, garantindo a base para a eficiência e aeficácia, orientando a definição da estrutura organizacional e de tecnologias mais adequada.;Recursos;Incorporação de novas tecnologias
PROCESSOS;Promover uma visão de processos, compreendendo seus recursos, informações e ativos, demaneira integrada, na forma de uma cadeia de agregação de valor, que orientam a tomada dedecisão para execução das suas estratégias, operações, produtos e projetos, proporcionando oaprendizado, a transformação, a mudança e a agilidade, garantindo a base para a eficiência e aeficácia, orientando a definição da estrutura organizacional e de tecnologias mais adequada.;Recursos;Gestão de ativos
PROCESSOS;Promover uma visão de processos, compreendendo seus recursos, informações e ativos, demaneira integrada, na forma de uma cadeia de agregação de valor, que orientam a tomada dedecisão para execução das suas estratégias, operações, produtos e projetos, proporcionando oaprendizado, a transformação, a mudança e a agilidade, garantindo a base para a eficiência e aeficácia, orientando a definição da estrutura organizacional e de tecnologias mais adequada.;Recursos;Promoção da eficiência operacional
PROCESSOS;Promover uma visão de processos, compreendendo seus recursos, informações e ativos, demaneira integrada, na forma de uma cadeia de agregação de valor, que orientam a tomada dedecisão para execução das suas estratégias, operações, produtos e projetos, proporcionando oaprendizado, a transformação, a mudança e a agilidade, garantindo a base para a eficiência e aeficácia, orientando a definição da estrutura organizacional e de tecnologias mais adequada.;Transformação;Gestão de projetos
PROCESSOS;Promover uma visão de processos, compreendendo seus recursos, informações e ativos, demaneira integrada, na forma de uma cadeia de agregação de valor, que orientam a tomada dedecisão para execução das suas estratégias, operações, produtos e projetos, proporcionando oaprendizado, a transformação, a mudança e a agilidade, garantindo a base para a eficiência e aeficácia, orientando a definição da estrutura organizacional e de tecnologias mais adequada.;Transformação;Gestão da mudança
PROCESSOS;Promover uma visão de processos, compreendendo seus recursos, informações e ativos, demaneira integrada, na forma de uma cadeia de agregação de valor, que orientam a tomada dedecisão para execução das suas estratégias, operações, produtos e projetos, proporcionando oaprendizado, a transformação, a mudança e a agilidade, garantindo a base para a eficiência e aeficácia, orientando a definição da estrutura organizacional e de tecnologias mais adequada.;Transformação;Gestão digital
INOVAÇÃO;Dispor de um conjunto de competências organizacionais que induzam a proposiçãosistemática e ousada de ideias e conhecimentos, criando um ambiente e uma cultura quefavoreçam a geração de valor, o aprendizado organizacional e a introdução de inovações parabenefício da organização e de suas partes interessadas.;Gestão do Conhecimento;Identificação dos conhecimentos
INOVAÇÃO;Dispor de um conjunto de competências organizacionais que induzam a proposiçãosistemática e ousada de ideias e conhecimentos, criando um ambiente e uma cultura quefavoreçam a geração de valor, o aprendizado organizacional e a introdução de inovações parabenefício da organização e de suas partes interessadas.;Gestão do Conhecimento;Desenvolvimento dos conhecimentos
INOVAÇÃO;Dispor de um conjunto de competências organizacionais que induzam a proposiçãosistemática e ousada de ideias e conhecimentos, criando um ambiente e uma cultura quefavoreçam a geração de valor, o aprendizado organizacional e a introdução de inovações parabenefício da organização e de suas partes interessadas.;Gestão do Conhecimento;Retenção e proteção dos conhecimentos
INOVAÇÃO;Dispor de um conjunto de competências organizacionais que induzam a proposiçãosistemática e ousada de ideias e conhecimentos, criando um ambiente e uma cultura quefavoreçam a geração de valor, o aprendizado organizacional e a introdução de inovações parabenefício da organização e de suas partes interessadas.;Gestão do Conhecimento;Utilização dos conhecimentos
INOVAÇÃO;Dispor de um conjunto de competências organizacionais que induzam a proposiçãosistemática e ousada de ideias e conhecimentos, criando um ambiente e uma cultura quefavoreçam a geração de valor, o aprendizado organizacional e a introdução de inovações parabenefício da organização e de suas partes interessadas.;Gestão da Inovação;Estímulo à inovação
INOVAÇÃO;Dispor de um conjunto de competências organizacionais que induzam a proposiçãosistemática e ousada de ideias e conhecimentos, criando um ambiente e uma cultura quefavoreçam a geração de valor, o aprendizado organizacional e a introdução de inovações parabenefício da organização e de suas partes interessadas.;Gestão da Inovação;Desenvolvimento da inovação
INOVAÇÃO;Dispor de um conjunto de competências organizacionais que induzam a proposiçãosistemática e ousada de ideias e conhecimentos, criando um ambiente e uma cultura quefavoreçam a geração de valor, o aprendizado organizacional e a introdução de inovações parabenefício da organização e de suas partes interessadas.;Gestão da Inovação;Implantação da inovação
INOVAÇÃO;Dispor de um conjunto de competências organizacionais que induzam a proposiçãosistemática e ousada de ideias e conhecimentos, criando um ambiente e uma cultura quefavoreçam a geração de valor, o aprendizado organizacional e a introdução de inovações parabenefício da organização e de suas partes interessadas.;Gestão da Inovação;Medição da inovação
CULTURA;Compreender hábitos, crenças, aspectos comportamentais, emocionais e cognitivosrepresentados por um conjunto de valores e princípios éticos e morais que são utilizados comoguia e inspiração para toda a organização, nas mudanças necessárias ao alinhamentoorganizacional para a concretização das estratégias e na implementação dos processos, criandoum ambiente que estimule o aprendizado, a inovação, a transformação e a excelência;Valores e Princípios;Definição dos valores e princípios
CULTURA;Compreender hábitos, crenças, aspectos comportamentais, emocionais e cognitivosrepresentados por um conjunto de valores e princípios éticos e morais que são utilizados comoguia e inspiração para toda a organização, nas mudanças necessárias ao alinhamentoorganizacional para a concretização das estratégias e na implementação dos processos, criandoum ambiente que estimule o aprendizado, a inovação, a transformação e a excelência;Valores e Princípios;Comprometimento com os valores e princípios
CULTURA;Compreender hábitos, crenças, aspectos comportamentais, emocionais e cognitivosrepresentados por um conjunto de valores e princípios éticos e morais que são utilizados comoguia e inspiração para toda a organização, nas mudanças necessárias ao alinhamentoorganizacional para a concretização das estratégias e na implementação dos processos, criandoum ambiente que estimule o aprendizado, a inovação, a transformação e a excelência;Desenvolvimento da Cultura;Mapeamento da cultura atual
CULTURA;Compreender hábitos, crenças, aspectos comportamentais, emocionais e cognitivosrepresentados por um conjunto de valores e princípios éticos e morais que são utilizados comoguia e inspiração para toda a organização, nas mudanças necessárias ao alinhamentoorganizacional para a concretização das estratégias e na implementação dos processos, criandoum ambiente que estimule o aprendizado, a inovação, a transformação e a excelência;Desenvolvimento da Cultura;Implantação da cultura desejada
